Word 	 Count 	 FPos 	 LPos 	 Dmin 	 AvgD 	 Dmax 
 "'It 	 33 	 17555 	 578047 	 126 	 17515.38 	 270634 
 fortunately, 	 5 	 17695 	 549378 	 8350 	 132920.75 	 312612 
 dead, 	 26 	 19437 	 613238 	 3 	 23752.04 	 96668 
 settled 	 33 	 23654 	 651995 	 1299 	 19635.66 	 64879 
 conformed 	 1 	 26516 	 26516 	 0 	 0.00 	 0 
 Overland 	 1 	 26886 	 26886 	 0 	 0.00 	 0 
 long-horned 	 1 	 27107 	 27107 	 0 	 0.00 	 0 
 sight, 	 8 	 27774 	 637149 	 3653 	 87053.57 	 350907 
 exertions, 	 2 	 34531 	 414735 	 380204 	 380204.00 	 380204 
 evil 	 46 	 36581 	 644215 	 29 	 13502.98 	 69914 
 Dismal 	 1 	 39877 	 39877 	 0 	 0.00 	 0 
 Bald-Headed 	 2 	 43742 	 50275 	 6533 	 6533.00 	 6533 
 smiles, 	 1 	 48409 	 48409 	 0 	 0.00 	 0 
 welcome, 	 2 	 53450 	 456295 	 402845 	 402845.00 	 402845 
 topped 	 4 	 54210 	 652553 	 108697 	 199447.67 	 245713 
 fit, 	 1 	 58765 	 58765 	 0 	 0.00 	 0 
 mare's-nest 	 1 	 59633 	 59633 	 0 	 0.00 	 0 
 Sholtos, 	 1 	 71434 	 71434 	 0 	 0.00 	 0 
 rebel 	 3 	 79454 	 243603 	 137 	 82074.50 	 164012 
 court-martialled 	 1 	 81726 	 81726 	 0 	 0.00 	 0 
 yam-planting, 	 1 	 82936 	 82936 	 0 	 0.00 	 0 
 drug-created 	 1 	 87384 	 87384 	 0 	 0.00 	 0 
 good-night, 	 4 	 90176 	 279048 	 17 	 62957.33 	 184189 
 Archie, 	 1 	 103303 	 103303 	 0 	 0.00 	 0 
 interest, 	 16 	 105923 	 559102 	 2104 	 30211.93 	 91809 
 stock, 	 3 	 106001 	 600802 	 86023 	 247400.50 	 408778 
 half-mad 	 2 	 107643 	 175005 	 67362 	 67362.00 	 67362 
 noted, 	 1 	 108584 	 108584 	 0 	 0.00 	 0 
 rat 	 8 	 110006 	 604723 	 21570 	 70673.86 	 139683 
 respects, 	 2 	 111025 	 215534 	 104509 	 104509.00 	 104509 
 '85, 	 2 	 124355 	 128011 	 3656 	 3656.00 	 3656 
 "Save, 	 1 	 125463 	 125463 	 0 	 0.00 	 0 
 yellow, 	 3 	 128449 	 580996 	 59935 	 226273.50 	 392612 
 crab, 	 1 	 150884 	 150884 	 0 	 0.00 	 0 
 bricks, 	 1 	 158275 	 158275 	 0 	 0.00 	 0 
 bearing, 	 5 	 159724 	 361762 	 19811 	 50509.50 	 109008 
 reduced 	 4 	 163196 	 323279 	 8169 	 53361.00 	 83721 
 unprecedented 	 1 	 169026 	 169026 	 0 	 0.00 	 0 
 me--seemed 	 1 	 170196 	 170196 	 0 	 0.00 	 0 
 also--but 	 1 	 170216 	 170216 	 0 	 0.00 	 0 
 Eight 	 3 	 171264 	 506174 	 50362 	 167455.00 	 284548 
 slighted 	 1 	 190610 	 190610 	 0 	 0.00 	 0 
 survived, 	 1 	 191032 	 191032 	 0 	 0.00 	 0 
 loft 	 2 	 193259 	 411092 	 217833 	 217833.00 	 217833 
 distrait, 	 2 	 199612 	 360267 	 160655 	 160655.00 	 160655 
 intended, 	 3 	 200483 	 451312 	 93269 	 125414.50 	 157560 
 uncarpeted 	 2 	 211267 	 542655 	 331388 	 331388.00 	 331388 
 short-handed 	 1 	 217075 	 217075 	 0 	 0.00 	 0 
 reread 	 1 	 218786 	 218786 	 0 	 0.00 	 0 
 gagged 	 2 	 221058 	 517611 	 296553 	 296553.00 	 296553 
 private, 	 2 	 238587 	 252768 	 14181 	 14181.00 	 14181 
 "Found 	 2 	 249834 	 437477 	 187643 	 187643.00 	 187643 
 satisfaction, 	 6 	 281874 	 571101 	 2501 	 57845.40 	 139144 
 opera-hat 	 1 	 283922 	 283922 	 0 	 0.00 	 0 
 peasant, 	 1 	 307281 	 307281 	 0 	 0.00 	 0 
 agitated--and 	 1 	 315089 	 315089 	 0 	 0.00 	 0 
 chimed, 	 1 	 329091 	 329091 	 0 	 0.00 	 0 
 indicate, 	 1 	 334559 	 334559 	 0 	 0.00 	 0 
 Nature, 	 3 	 354952 	 654877 	 44003 	 149962.50 	 255922 
 "Heavens, 	 1 	 366630 	 366630 	 0 	 0.00 	 0 
 necessary, 	 5 	 372708 	 650931 	 15727 	 69555.75 	 145466 
 sounds, 	 1 	 373473 	 373473 	 0 	 0.00 	 0 
 demoniacal 	 1 	 387236 	 387236 	 0 	 0.00 	 0 
 M.R.C.S., 	 2 	 390519 	 391609 	 1090 	 1090.00 	 1090 
 recollection, 	 3 	 403124 	 473953 	 25360 	 35414.50 	 45469 
 maddest, 	 1 	 404211 	 404211 	 0 	 0.00 	 0 
 naturally, 	 2 	 409646 	 606525 	 196879 	 196879.00 	 196879 
 mutter, 	 1 	 423130 	 423130 	 0 	 0.00 	 0 
 4 	 1 	 450319 	 450319 	 0 	 0.00 	 0 
 brightened 	 3 	 454742 	 513380 	 24380 	 29319.00 	 34258 
 verbatim, 	 1 	 471766 	 471766 	 0 	 0.00 	 0 
 scented 	 1 	 475658 	 475658 	 0 	 0.00 	 0 
 disaster, 	 1 	 498082 	 498082 	 0 	 0.00 	 0 
 "Remarkable, 	 2 	 510626 	 538761 	 28135 	 28135.00 	 28135 
 astuteness, 	 1 	 518511 	 518511 	 0 	 0.00 	 0 
 Warren, 	 7 	 527347 	 530023 	 42 	 446.00 	 1565 
 cigarette-end, 	 1 	 528812 	 528812 	 0 	 0.00 	 0 
 "Education, 	 1 	 534572 	 534572 	 0 	 0.00 	 0 
 correspondence, 	 1 	 550987 	 550987 	 0 	 0.00 	 0 
 Land, 	 1 	 552750 	 552750 	 0 	 0.00 	 0 
 supped 	 1 	 560633 	 560633 	 0 	 0.00 	 0 
 contorted, 	 1 	 561533 	 561533 	 0 	 0.00 	 0 
 estranged 	 1 	 567707 	 567707 	 0 	 0.00 	 0 
